category,cluster_id,size,top_terms,suggested_name
Arts_Crafts_and_Sewing,2,160,"small, smaller, size, tiny, fit, beads, way, big, expected, use",
Arts_Crafts_and_Sewing,3,225,"use, instructions, just, work, like, product, glue, time, make, hard",
Arts_Crafts_and_Sewing,4,231,"money, waste, waste money, don, quality, cheap, cut, like, don waste, disappointed",
Arts_Crafts_and_Sewing,5,182,"use, cheap, broke, flimsy, quality, product, work, does, doesn, worth",
Arts_Crafts_and_Sewing,6,168,"colors, color, like, look, expected, pink, picture, black, photo, look like",
Arts_Crafts_and_Sewing,7,184,"clay, like, dry, dried, product, use, mold, smell, used, work",
Arts_Crafts_and_Sewing,8,215,"pens, ink, markers, paint, paper, colors, color, pencils, use, dried",
Arts_Crafts_and_Sewing,9,214,"use, really, work, cheap, good, just, didn, don, quality, broken",
Electronics,0,113,"fit, did fit, ipad, wrong, returned, item, did, size, didn, case",
Electronics,1,283,"tv, amazon, just, use, don, like, remote, work, time, screen",
Electronics,2,245,"case, use, screen, cover, just, stand, plastic, hard, hold, phone",
Electronics,3,156,"camera, video, use, cameras, lens, just, quality, picture, good, set",
Electronics,4,250,"waste, money, waste money, don, work, product, don waste, quality, doesn, does",
Electronics,5,194,"like, keyboard, works, just, use, product, time, great, work, need",
Electronics,6,236,"months, charge, working, worked, stopped, lasted, great, stopped working, broke, week",
Electronics,7,199,"work, didn, didn work, return, card, usb, returned, computer, did, did work",
Electronics,8,177,"sound, headphones, quality, speaker, sound quality, ear, good, volume, loud, buds",
Electronics,9,191,"work, did work, did, connect, antenna, didn, router, wifi, tried, signal",
Automotive,0,140,"received, missing, came, box, product, ordered, broken, return, arrived, damaged",
Automotive,1,182,"smell, car, clean, water, product, like, used, use, does, didn",
Automotive,2,291,"money, waste, waste money, cheap, don, quality, worth, buy, just, like",
Automotive,3,197,"fit, car, seat, cover, don, install, doesn, window, just, windshield",
Automotive,4,151,"small, big, size, like, expected, just, really, didn, doesn, way",
Automotive,5,252,"fit, does fit, does, did, did fit, car, returned, fit car, wrong, return",
Automotive,6,170,"work, worked, did, did work, didn, does, didn work, working, does work, battery",
Automotive,7,225,"broke, great, use, week, month, months, car, weeks, apart, good",
Automotive,8,326,"work, car, just, time, parts, good, like, buy, don, installed",
Automotive,9,108,"light, lights, bright, bulbs, led, night, work, brighter, just, like",
Patio_Lawn_and_Garden,0,130,"fit, small, size, tiny, returned, use, way, inches, big, tall",
Patio_Lawn_and_Garden,1,248,"waste, money, waste money, don, work, product, buy, just, don waste, time",
Patio_Lawn_and_Garden,2,315,"use, broke, sturdy, just, apart, like, pole, good, doesn, stay",
Patio_Lawn_and_Garden,3,184,"birds, work, flies, did, ants, traps, squirrels, trap, don, bait",
Patio_Lawn_and_Garden,4,206,"arrived, product, received, disappointed, missing, like, came, just, box, ordered",
Patio_Lawn_and_Garden,5,215,"work, worked, didn, working, did, months, didn work, battery, unit, light",
Patio_Lawn_and_Garden,6,214,"plant, plants, seeds, grow, soil, just, planted, leaves, growing, did",
Patio_Lawn_and_Garden,7,128,"seeds, grow, sprouted, grew, did, planted, sprout, did grow, seed, germinated",
Patio_Lawn_and_Garden,8,233,"cheap, plastic, quality, flimsy, money, cheaply, poor, junk, worth, buy",
Patio_Lawn_and_Garden,9,168,"hose, water, leaks, nozzle, spray, leak, pump, sprayer, use, pool",
Subscription_Boxes,0,198,"items, plants, use, expected, didn, products, dead, did, small, box",
Subscription_Boxes,1,270,"box, money, worth, waste, waste money, items, cheap, subscription, like, disappointed",
Subscription_Boxes,2,145,"box, pop, funko, marvel, deadpool, boxes, shirt, deadpool box, items, venom",
Subscription_Boxes,3,239,"products, box, lip, items, like, received, use, allure, beauty, got",
Subscription_Boxes,4,163,"kids, kit, old, year, box, stem, just, year old, age, book",
Subscription_Boxes,5,249,"toys, treats, dog, box, dogs, cats, cat, toy, like, small",
Subscription_Boxes,6,150,"candy, snacks, tea, box, like, taste, good, teas, sour, snack",
Subscription_Boxes,7,289,"subscription, box, cancel, month, months, received, cancelled, canceled, just, time",
Subscription_Boxes,8,196,"worth, price, money, worth price, worth money, expensive, items, value, cost, products",
Subscription_Boxes,9,142,"shirt, shirts, quality, star, design, size, trek, star trek, wear, designs",
Magazine_Subscriptions,0,157,"expected, like, really, thought, boring, recipes, people, want, print, little",
Magazine_Subscriptions,1,120,"subscription, cancel, renewal, auto, renew, auto renewal, want, automatically, cancelled, cancel subscription",
Magazine_Subscriptions,2,174,"magazine, articles, magazines, just, like, mag, content, publication, interesting, better",
Magazine_Subscriptions,3,249,"received, magazine, subscription, issue, issues, magazines, ordered, months, receive, year",
Magazine_Subscriptions,4,135,"ads, advertisements, advertising, content, articles, information, advertisement, just, magazine ads, magazine",
Magazine_Subscriptions,5,309,"magazine, articles, like, read, just, good, issue, subscription, really, don",
Magazine_Subscriptions,6,244,"used, magazine, years, ads, articles, like, just, ago, great, years ago",
Magazine_Subscriptions,7,124,"received, issues, received issues, got, issue, ordered, months, order, received issue, gift",
Magazine_Subscriptions,8,216,"subscription, magazine, amazon, cancel, year, don, order, renewal, got, like",
Magazine_Subscriptions,9,311,"magazine, articles, ads, like, waste, money, just, issue, content, boring",
Tools_and_Home_Improvement,0,178,"work, didn, didn work, product, app, remote, worked, instructions, usb, just",
Tools_and_Home_Improvement,1,243,"small, fit, blade, use, tool, like, cut, did, product, handle",
Tools_and_Home_Improvement,2,224,"like, wall, paint, product, use, looks, color, paper, plastic, good",
Tools_and_Home_Improvement,3,213,"light, lamp, lights, bulbs, like, bulb, bright, look, shade, night",
Tools_and_Home_Improvement,4,200,"work, use, don, money, bought, quality, waste, waste money, just, small",
Tools_and_Home_Improvement,5,284,"light, lights, months, working, batteries, battery, stopped, stopped working, bulbs, work",
Tools_and_Home_Improvement,6,165,"broken, box, missing, broke, arrived, came, returned, received, item, parts",
Tools_and_Home_Improvement,7,87,"mask, masks, face, nose, fit, small, uncomfortable, adult, smell, tight",
Tools_and_Home_Improvement,8,178,"water, shower, drain, sink, faucet, hose, didn, pressure, just, fit",
Tools_and_Home_Improvement,9,264,"money, buy, waste, cheap, don, product, waste money, use, junk, quality",
Handmade_Products,0,145,"ear, earrings, ears, wear, earring, small, nose, fit, uncomfortable, cute",
Handmade_Products,1,254,"return, product, seller, order, got, refund, disappointed, ordered, item, don",
Handmade_Products,2,164,"broke, fell, cute, apart, broken, fragile, day, time, week, came",
Handmade_Products,3,292,"cheap, worth, money, quality, looks, like, poor, cheaply, price, poor quality",
Handmade_Products,4,158,"smell, scent, like, smells, smells like, soap, smell like, does, bad, really",
Handmade_Products,5,194,"ring, broke, bracelet, beautiful, love, wear, pretty, chain, green, wore",
Handmade_Products,6,248,"like, looks, expected, nice, good, quality, little, color, product, just",
Handmade_Products,7,196,"paper, print, frame, printed, just, photo, thought, picture, piece, like",
Handmade_Products,8,208,"silver, cheap, like, stone, necklace, gold, look, chain, looks, stones",
Handmade_Products,9,174,"small, size, tiny, smaller, way, way small, fit, cute, disappointed, bigger",
Cell_Phones_and_Accessories,0,170,"phone, work, use, calls, iphone, screen, buy, like, great, samsung",
Cell_Phones_and_Accessories,1,200,"phone, stay, stick, doesn, holder, use, just, like, hold, vent",
Cell_Phones_and_Accessories,2,241,"charge, charger, working, charging, work, stopped, stopped working, worked, phone, months",
Cell_Phones_and_Accessories,3,187,"like, didn, product, returned, thought, picture, item, didn like, did, felt",
Cell_Phones_and_Accessories,4,295,"case, phone, cover, just, cases, protection, phone case, like, screen, plastic",
Cell_Phones_and_Accessories,5,157,"screen, protector, screen protector, bubbles, phone, case, protectors, just, cracked, money",
Cell_Phones_and_Accessories,6,149,"screen, protector, screen protector, phone, glass, easy, bubbles, install, protectors, just",
Cell_Phones_and_Accessories,7,133,"fit, phone, fit phone, does fit, case, iphone, didn fit, does, did fit, didn",
Cell_Phones_and_Accessories,8,241,"money, waste, don, waste money, cheap, product, don waste, junk, buy, phone",
Cell_Phones_and_Accessories,9,259,"broke, week, case, days, apart, started, month, months, quality, cracked",
Musical_Instruments,0,170,"broke, broken, use, stand, quality, cheap, time, arrived, return, piece",
Musical_Instruments,1,178,"mic, microphone, work, sound, use, just, quality, mics, stand, tried",
Musical_Instruments,2,271,"guitar, strings, string, tune, tuning, instrument, guitars, quality, just, play",
Musical_Instruments,3,228,"fit, small, size, use, case, just, strap, didn, does, long",
Musical_Instruments,4,208,"work, didn, didn work, did, working, did work, worked, use, doesn, product",
Musical_Instruments,5,214,"pedal, sound, just, work, use, unit, amp, don, ve, does",
Musical_Instruments,6,204,"cheap, money, waste, waste money, product, quality, junk, buy, don, better",
Musical_Instruments,7,216,"sound, money, like, play, quality, just, strings, instrument, don, cheap",
Musical_Instruments,8,157,"sound, noise, volume, loud, hear, good, returned, really, quality, just",
Musical_Instruments,9,185,"product, like, picks, amazon, don, received, item, just, ordered, buy",
Industrial_and_Scientific,0,120,"filament, print, printer, prints, just, pla, printing, bed, extruder, nozzle",
Industrial_and_Scientific,1,252,"use, clean, water, work, just, product, vacuum, didn, better, used",
Industrial_and_Scientific,2,187,"tape, glue, stick, work, adhesive, did, sticky, used, use, doesn",
Industrial_and_Scientific,3,241,"product, received, box, ordered, item, arrived, good, broken, came, disappointed",
Industrial_and_Scientific,4,104,"masks, mask, face, smell, nose, wear, like, fit, wearing, don",
Industrial_and_Scientific,5,238,"work, working, doesn, doesn work, did, worked, use, stopped, stopped working, didn",
Industrial_and_Scientific,6,236,"hold, work, used, use, fit, does, did, time, won, product",
Industrial_and_Scientific,7,224,"don, use, good, like, magnets, just, buy, quality, work, cheap",
Industrial_and_Scientific,8,276,"money, waste, waste money, use, junk, product, cheap, buy, quality, don",
Industrial_and_Scientific,9,153,"small, size, fit, smaller, bags, return, just, thought, did, bigger",
Health_and_Household,0,175,"size, fit, comfortable, uncomfortable, compression, socks, wear, feet, glasses, foot",
Health_and_Household,1,254,"clean, use, teeth, like, water, using, used, doesn, just, good",
Health_and_Household,2,227,"waste, money, product, waste money, buy, quality, use, disappointed, like, cheap",
Health_and_Household,3,168,"smell, scent, smells, like, fragrance, strong, does, oil, candle, don",
Health_and_Household,4,244,"taking, product, pills, don, just, sugar, work, capsules, good, like",
Health_and_Household,5,214,"bags, small, bag, box, don, paper, money, use, like, just",
Health_and_Household,6,177,"batteries, product, box, open, arrived, got, use, came, received, returned",
Health_and_Household,7,246,"use, like, unit, just, does, work, did, price, neck, heavy",
Health_and_Household,8,182,"taste, flavor, like, tastes, awful, don, tasted, horrible, protein, don like",
Health_and_Household,9,143,"work, did, didn, did work, didn work, money, help, doesn, difference, doesn work",
Toys_and_Games,0,187,"broke, apart, day, fell, broken, fell apart, super, days, cheap, use",
Toys_and_Games,1,248,"toy, kids, old, game, year, just, like, year old, play, fun",
Toys_and_Games,2,196,"missing, box, received, came, gift, cards, disappointed, package, sent, damaged",
Toys_and_Games,3,174,"water, air, balloons, pool, blow, leak, just, use, did, hole",
Toys_and_Games,4,234,"toy, game, like, kids, play, just, don, really, fun, money",
Toys_and_Games,5,195,"small, size, expected, like, just, really, doll, looks, tiny, cute",
Toys_and_Games,6,176,"work, batteries, worked, doesn, working, doesn work, didn, did work, does, stopped",
Toys_and_Games,7,141,"pieces, puzzle, missing, puzzles, piece, small, holes, instructions, quality, hard",
Toys_and_Games,8,292,"money, waste, cheap, waste money, worth, don, quality, junk, product, like",
Toys_and_Games,9,185,"kids, crayons, small, good, like, cute, stickers, don, ok, just",
Video_Games,0,136,"broke, working, stopped, stopped working, months, weeks, month, worked, charge, days",
Video_Games,1,222,"game, work, download, play, games, steam, did, money, disc, buy",
Video_Games,2,182,"money, waste, buy, don, worth, cheap, product, box, charge, item",
Video_Games,3,272,"controller, controllers, work, xbox, just, use, like, buttons, battery, charge",
Video_Games,4,256,"game, games, like, just, play, boring, graphics, fun, money, played",
Video_Games,5,139,"work, didn work, didn, doesn work, worked, did, did work, doesn, does, tried",
Video_Games,6,241,"game, like, games, just, fun, play, really, good, playing, graphics",
Video_Games,7,214,"case, fit, screen, switch, like, product, just, doesn, right, protector",
Video_Games,8,174,"mouse, keyboard, keys, key, software, just, gaming, buttons, logitech, click",
Video_Games,9,191,"headset, sound, mic, headphones, quality, hear, ear, sound quality, months, audio",
Office_Products,0,257,"chair, legs, desk, use, like, heavy, table, fit, bed, small",
Office_Products,1,219,"cute, card, cards, calendar, like, colors, color, size, paper, thought",
Office_Products,2,157,"ink, printer, cartridges, cartridge, work, print, printing, recognize, black, money",
Office_Products,3,140,"work, phone, use, worked, did, return, didn, months, working, just",
Office_Products,4,239,"tape, stick, use, just, paper, work, wall, sticky, adhesive, doesn",
Office_Products,5,229,"pens, pen, ink, write, writing, like, flow, just, pencils, pencil",
Office_Products,6,175,"arrived, returned, came, box, damaged, missing, broken, dried, received, item",
Office_Products,7,248,"paper, quality, money, small, cheap, worth, don, price, buy, flimsy",
Office_Products,8,237,"tape, money, waste, waste money, use, broke, stick, doesn, product, cheap",
Office_Products,9,125,"printer, print, hp, ink, printing, paper, use, work, software, scanner",
Kindle_Store,0,214,"couldn, just, book, didn, did, finish, slow, story, read, really",
Kindle_Store,1,187,"book, series, books, story, read, just, end, like, ending, characters",
Kindle_Store,2,150,"book, story, read, just, novel, good, characters, author, interesting, like",
Kindle_Store,3,198,"book, kindle, recipes, received, information, use, download, page, like, read",
Kindle_Store,4,210,"book, just, sex, like, story, romance, read, love, author, really",
Kindle_Store,5,255,"story, character, characters, just, book, plot, like, tale, author, main",
Kindle_Store,6,325,"book, read, just, boring, waste, like, time, written, characters, story",
Kindle_Store,7,151,"book, story, author, errors, editing, read, just, words, like, characters",
Kindle_Store,8,147,"book, just, like, really, read, didn, books, story, love, reading",
Kindle_Store,9,187,"story, read, book, predictable, interesting, plot, just, novel, characters, didn",
Movies_and_TV,0,145,"waste, boring, waste time, funny, don waste, time, just, money, don, good",
Movies_and_TV,1,170,"movie, minutes, didn, finish, watch, watching, just, watched, couldn, boring",
Movies_and_TV,2,341,"movie, bad, time, waste, acting, good, film, just, worst, don",
Movies_and_TV,3,215,"season, series, episode, just, episodes, watch, like, seasons, good, watching",
Movies_and_TV,4,192,"dvd, play, disc, amazon, video, copy, discs, seller, quality, watch",
Movies_and_TV,5,247,"movie, like, just, really, bad, acting, good, great, story, don",
Movies_and_TV,6,245,"movie, film, just, story, like, good, really, funny, plot, time",
Movies_and_TV,7,185,"movie, film, good, like, just, movies, better, great, times, story",
Movies_and_TV,8,128,"story, slow, great, good, ok, better, just, ending, expected, like",
Movies_and_TV,9,155,"don, like, just, people, kids, really, believe, better, documentary, lies",
Health_and_Personal_Care,0,160,"work, working, did, stopped, did work, worked, didn, stopped working, didn work, doesn work",
Health_and_Personal_Care,1,219,"don, glasses, use, stay, ones, pair, just, socks, work, broke",
Health_and_Personal_Care,2,222,"product, don, bottle, just, taking, good, use, day, buy, like",
Health_and_Personal_Care,3,191,"broken, arrived, opened, use, lid, broke, product, returned, item, box",
Health_and_Personal_Care,4,218,"hair, didn, doesn, brush, did, work, like, use, teeth, really",
Health_and_Personal_Care,5,200,"fit, uncomfortable, big, small, hard, size, comfortable, didn, just, way",
Health_and_Personal_Care,6,134,"smell, like, scent, oil, smells, skin, spray, fragrance, product, smelled",
Health_and_Personal_Care,7,321,"money, waste, waste money, product, cheap, don, buy, use, worth, like",
Health_and_Personal_Care,8,155,"taste, flavor, like, tastes, bad, tasted, good, don, product, tried",
Health_and_Personal_Care,9,202,"use, just, really, does, work, great, small, like, good, used",
All_Beauty,0,201,"work, did, does, did work, didn, doesn, use, broke, used, time",
All_Beauty,1,282,"money, waste, waste money, product, don, worth, buy, just, work, use",
All_Beauty,2,167,"smell, scent, smells, like, bad, smells like, smell like, odor, product, smelled",
All_Beauty,3,171,"product, bottle, received, like, conditioner, just, good, shampoo, hair, love",
All_Beauty,4,165,"color, colors, like, look, brown, product, pretty, pictured, dark, don",
All_Beauty,5,176,"brush, hair, bristles, use, just, brushes, like, long, soft, doesn",
All_Beauty,6,167,"broken, small, item, arrived, cheap, quality, disappointed, received, return, arrived broken",
All_Beauty,7,217,"hair, wig, like, hold, did, work, use, ends, didn, just",
All_Beauty,8,215,"small, stay, hard, don, nails, head, wear, fit, use, big",
All_Beauty,9,260,"skin, face, product, like, didn, use, did, work, used, using",
Sports_and_Outdoors,0,218,"hard, use, like, heavy, uncomfortable, chair, just, does, seat, tight",
Sports_and_Outdoors,1,274,"bike, just, like, use, don, better, product, good, work, really",
Sports_and_Outdoors,2,147,"small, size, fit, way, smaller, large, way small, return, short, big",
Sports_and_Outdoors,3,276,"waste, money, don, waste money, buy, junk, product, just, like, time",
Sports_and_Outdoors,4,170,"work, doesn, charge, battery, didn, app, use, doesn work, did, light",
Sports_and_Outdoors,5,189,"cheap, cheaply, quality, like, material, fabric, small, looks, bag, product",
Sports_and_Outdoors,6,220,"broke, months, used, apart, time, snapped, use, day, fell, lasted",
Sports_and_Outdoors,7,184,"water, bottle, cold, lid, like, taste, leaks, smell, use, just",
Sports_and_Outdoors,8,172,"good, bands, don, like, just, fit, really, use, gloves, hands",
Sports_and_Outdoors,9,169,"received, missing, came, box, arrived, product, broken, item, like, did",
Software,0,199,"use, does, like, really, good, pay, just, know, hard, don",
Software,1,180,"deleted, didn, like, did, don, didn like, expected, did like, just, thought",
Software,2,181,"app, free, waste, ads, time, horrible, worth, uninstalled, just, download",
Software,3,235,"software, program, version, product, windows, work, use, computer, just, year",
Software,4,227,"work, doesn, doesn work, did, did work, load, couldn, open, didn, didn work",
Software,5,119,"kindle, work, work kindle, app, play, play kindle, hd, kindle hd, tried, didn",
Software,6,237,"watch, tv, app, cable, shows, commercials, free, channel, use, pay",
Software,7,194,"app, amazon, android, free, apps, tablet, day amazon, phone, touched, day",
Software,8,260,"game, play, games, fun, money, just, ads, time, buy, played",
Software,9,186,"game, boring, games, fun, play, just, like, played, graphics, deleted",
Beauty_and_Personal_Care,0,198,"skin, face, product, like, using, dry, mask, feel, use, did",
Beauty_and_Personal_Care,1,221,"polish, color, like, look, product, just, use, didn, skin, does",
Beauty_and_Personal_Care,2,208,"smell, smells, like, scent, product, perfume, smells like, bad, fragrance, doesn",
Beauty_and_Personal_Care,3,225,"work, broke, use, product, arrived, doesn, hard, broken, good, cheap",
Beauty_and_Personal_Care,4,211,"hair, conditioner, work, didn, use, like, just, dry, shampoo, did",
Beauty_and_Personal_Care,5,131,"color, like, looks, picture, product, colors, expected, looks like, orange, pink",
Beauty_and_Personal_Care,6,221,"money, waste, waste money, product, don, buy, don waste, does, just, like",
Beauty_and_Personal_Care,7,160,"brush, price, expensive, current, use, current price, like, hair, set, 99",
Beauty_and_Personal_Care,8,242,"scent, smell, like, skin, smells, fragrance, good, cream, product, price",
Beauty_and_Personal_Care,9,197,"don, small, work, hair, hard, really, quality, size, use, just",
Amazon_Fashion,0,227,"cheap, quality, buy, money, waste, waste money, junk, product, don, worth",
Amazon_Fashion,1,162,"don, work, just, pretty, earrings, wear, glasses, stay, look, ears",
Amazon_Fashion,2,243,"like, cheap, dress, picture, fabric, looks, shirt, material, look, quality",
Amazon_Fashion,3,173,"broke, watch, broken, fell, band, apart, quality, fell apart, good, days",
Amazon_Fashion,4,194,"fit, uncomfortable, socks, don, like, feet, pants, size, tight, wear",
Amazon_Fashion,5,210,"fit, small, way, big, large, dress, like, size, returned, did",
Amazon_Fashion,6,180,"material, returned, didn, like, uncomfortable, looks, way, cheap, didn like, smell",
Amazon_Fashion,7,219,"small, size, sizes, way, runs, way small, ordered, fit, xl, runs small",
Amazon_Fashion,8,242,"like, material, dress, fit, size, fabric, wear, really, just, shirt",
Amazon_Fashion,9,163,"necklace, pretty, ring, color, chain, like, gold, looks, received, jewelry",
Baby_Products,0,174,"skin, smell, baby, like, bottle, rash, smells, scent, wipes, use",
Baby_Products,1,156,"like, old, baby, didn, year old, daughter, year, did, hard, son",
Baby_Products,2,247,"money, waste, waste money, broke, product, cheaply, cheap, terrible, use, worth",
Baby_Products,3,227,"don, just, like, use, work, great, got, leak, look, easily",
Baby_Products,4,267,"seat, baby, fit, car, doesn, just, chair, small, really, like",
Baby_Products,5,233,"like, cute, don, good, does, baby, use, doesn, great, really",
Baby_Products,6,196,"diapers, diaper, wipes, baby, pampers, like, huggies, just, leak, use",
Baby_Products,7,151,"gate, door, fit, install, work, open, easy, product, difficult, sturdy",
Baby_Products,8,175,"thermometer, monitor, use, work, just, sound, light, working, stopped, accurate",
Baby_Products,9,187,"disappointed, product, received, item, return, arrived, picture, ordered, like, cheap",
Books,0,80,"recipes, recipe, cookbook, book, ingredients, use, like, pictures, eat, cook",
Books,1,266,"book, didn, read, just, books, finish, like, really, story, did",
Books,2,307,"book, story, read, just, boring, characters, time, like, really, character",
Books,3,301,"story, book, novel, characters, just, like, plot, read, author, really",
Books,4,161,"book, information, info, like, read, just, better, good, use, need",
Books,5,178,"book, author, read, like, written, don, just, money, books, waste",
Books,6,210,"book, pages, quality, cover, disappointed, books, paper, stickers, small, print",
Books,7,193,"book, information, money, disappointed, waste, waste money, small, pages, expected, just",
Books,8,204,"story, book, novel, read, like, characters, just, life, love, didn",
Books,9,113,"book, kids, children, child, year, year old, old, read, story, like",
Home_and_Kitchen,0,82,"smell, scent, candle, candles, fragrance, like, bad, love, smell like, smells",
Home_and_Kitchen,1,261,"use, lid, good, like, just, water, used, coffee, does, time",
Home_and_Kitchen,2,222,"cheap, quality, like, picture, looks, color, cheaply, poor quality, poor, flimsy",
Home_and_Kitchen,3,172,"pillow, blanket, soft, cover, like, mattress, sheets, good, material, pillows",
Home_and_Kitchen,4,265,"waste, money, buy, waste money, junk, product, time, don, coffee, garbage",
Home_and_Kitchen,5,163,"small, fit, size, big, smaller, way, inches, just, tiny, don",
Home_and_Kitchen,6,211,"use, broke, plastic, flimsy, stay, did, returned, great, hard, apart",
Home_and_Kitchen,7,201,"arrived, broken, missing, received, damaged, item, box, gift, disappointed, return",
Home_and_Kitchen,8,221,"work, worked, time, clock, doesn, months, working, fan, battery, use",
Home_and_Kitchen,9,214,"quality, use, like, towels, look, cheap, just, good, bought, sheets",
Digital_Music,0,197,"product, price, buy, work, like, gift, expensive, came, item, didn",
Digital_Music,1,161,"cd, play, case, cracked, scratched, broken, damaged, work, player, disc",
Digital_Music,2,120,"expected, like, music, thought, didn, did, didn like, wanted, wasn, daughter",
Digital_Music,3,292,"like, songs, music, cd, album, good, just, better, song, voice",
Digital_Music,4,228,"cd, album, original, bootleg, songs, don, music, like, buy, vinyl",
Digital_Music,5,193,"cd, dvd, received, description, seller, disc, item, thought, disappointed, music",
Digital_Music,6,216,"album, music, like, good, cd, great, just, sound, song, better",
Digital_Music,7,206,"songs, cd, song, list, album, music, track, tracks, like, songs cd",
Digital_Music,8,214,"money, waste, music, waste money, cd, just, album, awful, don, book",
Digital_Music,9,184,"sound, quality, recording, sound quality, poor, cd, recordings, bad, audio, songs",
Unknown,0,158,"taste, flavor, like, eat, just, good, stale, melted, don, chips",
Unknown,1,227,"quality, apart, cheap, cheaply, arrived, came, broke, poor, like, fell",
Unknown,2,187,"working, worked, stopped, charge, weeks, stopped working, work, battery, works, months",
Unknown,3,188,"work, app, phone, did, does, did work, didn, does work, didn work, time",
Unknown,4,280,"money, waste, waste money, buy, junk, cheap, don, like, just, quality",
Unknown,5,159,"smell, like, product, scent, used, use, just, does, smells, hair",
Unknown,6,252,"use, really, great, like, good, just, work, don, phone, doesn",
Unknown,7,213,"fit, wear, small, size, like, material, way, large, dress, fabric",
Unknown,8,196,"picture, description, like, ordered, fit, product, pictured, size, item, cheap",
Unknown,9,150,"book, game, did, like, story, just, read, bad, good, movie",
Clothing_Shoes_and_Jewelry,0,171,"money, buy, cheap, product, garbage, waste, junk, cheaply, small, chain",
Clothing_Shoes_and_Jewelry,1,203,"like, shoes, don, money, cheap, quality, buy, pair, pants, fit",
Clothing_Shoes_and_Jewelry,2,174,"color, like, picture, looks, look, expected, cheap, pink, looking, quality",
